output_products/code,output_products/name,name,routing/name
BAN-OCEAN-SM/C,Bandana Cut - Ocean - Small,BAN-OCEAN-CUTS-SM - Airwave 48x28.5 - Ocean Small Cuts,Cutting - Fabric
BAN-BLAZE-SM/C,Bandana Cut - Blaze - Small,BAN-BLAZE-CUTS-SM - Airwave 48x28.5 - Blaze Small Cuts,Cutting - Fabric
BAN-TEAL-SM/C,Bandana Cut - Teal - Small,BAN-TEAL-CUTS-SM - Airwave 48x28.5 - Teal Small Cuts,Cutting - Fabric
BAN-LIME-SM/C,Bandana Cut - Lime - Small,BAN-LIME-CUTS-SM - Airwave 48x28.5 - Lime Small Cuts,Cutting - Fabric
BAN-BLACK-SM/C,Bandana Cut - Black - Small,BAN-BLACK-CUTS-SM - Airwave 48x28.5 - Black Small Cuts,Cutting - Fabric
BAN-ASH-SM/C,Bandana Cut - Ash - Small,BAN-ASH-CUTS-SM - Airwave 48x28.5 - Ash Small Cuts,Cutting - Fabric
BAN-TEAL-LG/C,Bandana Cut - Teal - Large,BAN-TEAL-CUTS-LG - Airwave 48x28.5 - Teal Large Cuts,Cutting - Fabric
BAN-BLAZE-LG/C,Bandana Cut - Blaze - Large,BAN-BLAZE-CUTS-LG - Airwave 48x28.5 - Blaze Large Cuts,Cutting - Fabric
BAN-LIME-LG/C,Bandana Cut - Lime - Large,BAN-LIME-CUTS-LG - Airwave 48x28.5 - Lime Large Cuts,Cutting - Fabric
BAN-BLACK-LG/C,Bandana Cut - Black - Large,BAN-BLACK-CUTS-LG - Airwave 48x28.5 - Black Large Cuts,Cutting - Fabric
BAN-ASH-LG/C,Bandana Cut - Ash - Large,BAN-ASH-CUTS-LG - Airwave 48x28.5 - Ash Large Cuts,Cutting - Fabric
LCP-B-MD-F3,Lifetime Pro Collar - Black / Medium with Fi S3,LCP-B-MD-F3,LCP Custom
LCP-B-LG-F3,Lifetime Pro Collar - Black / Large with Fi S3,LCP-B-LG-F3,LCP Custom
LCP-W-MD-F3,Lifetime Pro Collar - Wolf / Medium with Fi S3,LCP-W-MD-F3,LCP Custom
LCP-W-LG-F3,Lifetime Pro Collar - Wolf / Large with Fi S3,LCP-W-LG-F3,LCP Custom
LCP-O-MD-F3,Lifetime Pro Collar - Olive / Medium with Fi S3,LCP-O-MD-F3,LCP Custom
LCP-O-LG-F3,Lifetime Pro Collar - Olive / Large with Fi S3,LCP-O-LG-F3,LCP Custom
LCP-C-MD-F3,Lifetime Pro Collar - Coyote / Medium with Fi S3,LCP-C-MD-F3,LCP Custom
LCP-C-LG-F3,Lifetime Pro Collar - Coyote / Large with Fi S3,LCP-C-LG-F3,LCP Custom
LCP-B1-SM-F3,"Lifetime Pro Collar - 1"" Black / Small with Fi S3",LCP-B1-SM-F3,LCP Custom
